Entry	Entry Name	Protein names	Gene Names	Length	Protein families	Domain [FT]
Q8TD19	NEK9_HUMAN	Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)	NEK9 KIAA1995 NEK8 NERCC	979	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 52..308; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q16566	KCC4_HUMAN	Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR)	CAMK4 CAMK CAMK-GR CAMKIV	473	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 46..300; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q8NG66	NEK11_HUMAN	Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)	NEK11	645	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 29..287; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9HC98	NEK6_HUMAN	Serine/threonine-protein kinase Nek6 (EC 2.7.11.34) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)	NEK6	313	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 45..310; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P51955	NEK2_HUMAN	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1	445	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 8..271; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P51956	NEK3_HUMAN	Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3)	NEK3	506	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 4..257; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q8TDX7	NEK7_HUMAN	Serine/threonine-protein kinase Nek7 (EC 2.7.11.34) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	NEK7	302	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 34..299; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q86SG6	NEK8_HUMAN	Serine/threonine-protein kinase Nek8 (EC 2.7.11.1) (Never in mitosis A-related kinase 8) (NimA-related protein kinase 8) (Nima-related protein kinase 12a)	NEK8 JCK NEK12A	692	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 4..258; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q96PY6	NEK1_HUMAN	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	NEK1 KIAA1901	1258	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 4..258; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q6ZWH5	NEK10_HUMAN	Serine/threonine-protein kinase Nek10 (EC 2.7.11.1) (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)	NEK10	1172	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 519..712; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P48729	KC1A_HUMAN	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	337	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily	DOMAIN 17..285; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q13555	KCC2G_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)	CAMK2G CAMK CAMK-II CAMKG	558	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 14..272; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q8N752	KC1AL_HUMAN	Casein kinase I isoform alpha-like (CKI-alpha-like) (EC 2.7.11.1) (CK1)	CSNK1A1L	337	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily	DOMAIN 17..285; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P51957	NEK4_HUMAN	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)	NEK4 STK2	841	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 6..261; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P37840	SYUA_HUMAN	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	140	Synuclein family	
Q16539	MK14_HUMAN	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	360	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 24..308; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9NQ31	AKIP1_HUMAN	A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3)	AKIP1 BCA3 C11orf17	210		
P63104	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	245	14-3-3 family	
Q96RG2	PASK_HUMAN	PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1)	PASK KIAA0135	1323	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 119..190; /note="PAS 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00140"; DOMAIN 335..402; /note="PAS 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00140"; DOMAIN 999..1251; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P28482	MK01_HUMAN	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	360	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 25..313; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P24941	CDK2_HUMAN	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	CDK2 CDKN2	298	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..286; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9HBH9	MKNK2_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2)	MKNK2 GPRK7 MNK2	465	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 84..388; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q15746	MYLK_HUMAN	Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]	MYLK MLCK MLCK1 MYLK1	1914	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 33..122; /note="Ig-like C2-type 1"; DOMAIN 161..249; /note="Ig-like C2-type 2"; DOMAIN 414..503; /note="Ig-like C2-type 3"; DOMAIN 514..599; /note="Ig-like C2-type 4"; DOMAIN 620..711; /note="Ig-like C2-type 5"; DOMAIN 721..821; /note="Ig-like C2-type 6"; DOMAIN 1098..1186; /note="Ig-like C2-type 7"; DOMAIN 1238..1326; /note="Ig-like C2-type 8"; DOMAIN 1334..1426; /note="Fibronectin type-III"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1464..1719; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 1809..1898; /note="Ig-like C2-type 9"
Q8N3J5	PPM1K_HUMAN	Protein phosphatase Mn(2+)-dependent 1K (EC 3.1.3.16) (Branched-chain alpha-ketoacid dehydrogenase phosphatase) (BCKDH) (BDP) (EC 3.1.3.52) (PP2C domain-containing protein phosphatase 1K) (PP2C-like mitochondrial protein) (PP2C-type mitochondrial phosphoprotein phosphatase) (PTMP) (Protein phosphatase 2C family member) (Protein phosphatase 2C isoform kappa) (PP2C-kappa) ([3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]-phosphatase, mitochondrial)	PPM1K PP2CM	372	PP2C family	DOMAIN 94..346; /note="PPM-type phosphatase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01082"
