Entry	Protein families_Gene	Protein families	Gene Names	Length	Domain [FT];
P36507	STE_MAP2K2	STE	MAP2K2 MEK2 MKK2 PRKMK2	400	DOMAIN 72..369; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q02750	STE_MAP2K1	STE	MAP2K1 MEK1 PRKMK1	393	DOMAIN 68..361; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P11362	TYR_FGFR1	TYR	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	822	DOMAIN 25..119; /note="Ig-like C2-type 1"; DOMAIN 158..246; /note="Ig-like C2-type 2"; DOMAIN 255..357; /note="Ig-like C2-type 3"; DOMAIN 478..767; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P37840	other_SNCA	other	SNCA NACP PARK1	140	;
Q8NI60	other_COQ8A	other	COQ8A ADCK3 CABC1 PP265	647	DOMAIN 329..518; /note="Protein kinase";
P15056	TKL_BRAF	TKL	BRAF BRAF1 RAFB1	766	DOMAIN 155..227; /note="RBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00262"; DOMAIN 457..717; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P31751	AGC_AKT2	AGC	AKT2	481	DOMAIN 5..108; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 152..409; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 410..481; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618";
P10721	TYR_KIT	TYR	KIT SCFR	976	DOMAIN 27..112; /note="Ig-like C2-type 1"; DOMAIN 121..205; /note="Ig-like C2-type 2"; DOMAIN 212..308; /note="Ig-like C2-type 3"; DOMAIN 317..410; /note="Ig-like C2-type 4"; DOMAIN 413..507; /note="Ig-like C2-type 5"; DOMAIN 589..937; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q96D53	other_COQ8B	other	COQ8B ADCK4	544	DOMAIN 191..423; /note="Protein kinase";
O60674	TYR_JAK2	TYR	JAK2	1132	DOMAIN 37..380; /note="FERM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"; DOMAIN 401..482; /note="SH2; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 545..809; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 849..1124; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P06213	TYR_INSR	TYR	INSR	1382	DOMAIN 624..726; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 757..842; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 853..947; /note="Fibronectin type-III 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1023..1298; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9Y251	other_HPSE	other	HPSE HEP HPA HPA1 HPR1 HPSE1 HSE1	543	;
Q38SD2	TKL_LRRK1	TKL	LRRK1 KIAA1790	2015	DOMAIN 632..826; /note="Roc"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00758"; DOMAIN 1242..1525; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P11021	other_HSPA5	other	HSPA5 GRP78	654	;
Q9Y4A5	other_TRRAP	other	TRRAP PAF400	3859	DOMAIN 2692..3275; /note="FAT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00534"; DOMAIN 3500..3823; /note="PI3K/PI4K catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"; DOMAIN 3827..3859; /note="FATC"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00534, ECO:0000255|PROSITE-ProRule:PRU00535";
P42336	other_PIK3CA	other	PIK3CA	1068	DOMAIN 16..105; /note="PI3K-ABD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00877"; DOMAIN 187..289; /note="PI3K-RBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00879"; DOMAIN 330..487; /note="C2 PI3K-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00880"; DOMAIN 517..694; /note="PIK helical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00878"; DOMAIN 765..1051; /note="PI3K/PI4K catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00269";
P63261	other_ACTG1	other	ACTG1 ACTG	375	;
P16234	TYR_PDGFRA	TYR	PDGFRA PDGFR2 RHEPDGFRA	1089	DOMAIN 24..113; /note="Ig-like C2-type 1"; DOMAIN 117..201; /note="Ig-like C2-type 2"; DOMAIN 202..306; /note="Ig-like C2-type 3"; DOMAIN 319..410; /note="Ig-like C2-type 4"; DOMAIN 414..517; /note="Ig-like C2-type 5"; DOMAIN 593..954; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P30048	other_PRDX3	other	PRDX3 AOP1	256	DOMAIN 63..221; /note="Thioredoxin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00691";
Q5S007	TKL_LRRK2	TKL	LRRK2 PARK8	2527	DOMAIN 1328..1511; /note="Roc"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00758"; DOMAIN 1879..2138; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P01024	other_C3	other	C3 CPAMD1	1663	;
P09936	other_UCHL1	other	UCHL1	223	;
Q9BYX4	other_IFIH1	other	IFIH1 MDA5 RH116	1025	DOMAIN 7..97; /note="CARD 1"; DOMAIN 110..190; /note="CARD 2"; DOMAIN 316..509; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 700..882; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542"; DOMAIN 893..1020; /note="RLR CTR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01125";
P00736	other_C1R	other	C1R	705	DOMAIN 18..141; /note="CUB 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00059"; DOMAIN 142..190; /note="EGF-like; calcium-binding"; /evidence="ECO:0000255"; DOMAIN 193..305; /note="CUB 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00059"; DOMAIN 307..373; /note="Sushi 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 374..449; /note="Sushi 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 464..702; /note="Peptidase S1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00274";
P07585	other_DCN	other	DCN SLRR1B	359	;
P21333	other_FLNA	other	FLNA FLN FLN1	2647	DOMAIN 43..149; /note="Calponin-homology (CH) 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00044"; DOMAIN 166..269; /note="Calponin-homology (CH) 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00044";
P05231	other_IL6	other	IL6 IFNB2	212	;
Q96AG4	other_LRRC59	other	LRRC59 PRO1855	307	;
Q18PE1	other_DOK7	other	DOK7 C4orf25	504	;
P60709	other_ACTB	other	ACTB	375	;
P14174	other_MIF	other	MIF GLIF MMIF	115	;
Q13045	other_FLII	other	FLII FLIL	1269	;
Q13641	other_TPBG	other	TPBG 5T4	420	;
Q7RTN6	STE_STRADA	STE	STRADA LYK5 STRAD	431	DOMAIN 69..379; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O00206	other_TLR4	other	TLR4	839	DOMAIN 579..629; /note="LRRCT"; DOMAIN 672..815; /note="TIR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00204";
Q9C0K7	STE_STRADB	STE	STRADB ALS2CR2 ILPIP PRO1038	418	DOMAIN 58..369; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P07437	other_TUBB	other	TUBB TUBB5 OK/SW-cl.56	444	;
O60602	other_TLR5	other	TLR5 TIL3	858	DOMAIN 579..631; /note="LRRCT"; DOMAIN 691..836; /note="TIR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00204";
P51858	other_HDGF	other	HDGF HMG1L2	240	DOMAIN 12..69; /note="PWWP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00162";
A6NHR9	other_SMCHD1	other	SMCHD1 KIAA0650	2005	DOMAIN 1720..1847; /note="SMC hinge"; /evidence="ECO:0000255";
O75531	other_BANF1	other	BANF1 BAF BCRG1	89	DOMAIN 20..35; /note="HhH"; /evidence="ECO:0000269|PubMed:10924106";
Q9H4B7	other_TUBB1	other	TUBB1	451	;
Q14766	other_LTBP1	other	LTBP1	1721	DOMAIN 187..219; /note="EGF-like 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 399..431; /note="EGF-like 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 557..609; /note="TB 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00697"; DOMAIN 626..663; /note="EGF-like 3; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 677..729; /note="TB 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00697"; DOMAIN 873..910; /note="EGF-like 4; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 915..956; /note="EGF-like 5; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 957..997; /note="EGF-like 6; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 998..1037; /note="EGF-like 7; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1038..1078; /note="EGF-like 8; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1079..1119; /note="EGF-like 9; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1120..1160; /note="EGF-like 10; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1161..1201; /note="EGF-like 11; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1202..1243; /note="EGF-like 12; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1244..1281; /note="EGF-like 13; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1286..1328; /note="EGF-like 14; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1347..1401; /note="TB 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00697"; DOMAIN 1424..1466; /note="EGF-like 15; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1467..1503; /note="EGF-like 16; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1524..1577; /note="TB 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00697"; DOMAIN 1621..1657; /note="EGF-like 17"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 1662..1706; /note="EGF-like 18; calcium-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076";
P14136	other_GFAP	other	GFAP	432	DOMAIN 69..377; /note="IF rod"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01188";
Q9HB75	other_PIDD1	other	PIDD1 LRDD PIDD	910	;
Q13885	other_TUBB2A	other	TUBB2A TUBB2	445	;
P04350	other_TUBB4A	other	TUBB4A TUBB4 TUBB5	444	;
Q9BQE3	other_TUBA1C	other	TUBA1C TUBA6	449	;
